,Unnamed: 0,price,productnames
0,0,"₹27,999","<div class=""_4rR01T"">realme Pad X 6 GB RAM 128 GB ROM 11 inch with Wi-Fi+5G Tablet (Glacier Blue)</div>"
1,1,"₹17,999","<div class=""_4rR01T"">realme Pad 4 GB RAM 64 GB ROM 10.4 inch with Wi-Fi+4G Tablet (Gold)</div>"
2,2,"₹17,999","<div class=""_4rR01T"">realme Pad 4 GB RAM 64 GB ROM 10.4 inch with Wi-Fi+4G Tablet (Grey)</div>"
3,3,"₹14,999","<div class=""_4rR01T"">realme Pad Mini 4 GB RAM 64 GB ROM 8.7 inch with Wi-Fi+4G Tablet (Blue)</div>"
4,4,"₹15,999","<div class=""_4rR01T"">realme Pad 3 GB RAM 32 GB ROM 10.4 inch with Wi-Fi+4G Tablet (Grey)</div>"
5,5,"₹15,999","<div class=""_4rR01T"">realme Pad 3 GB RAM 32 GB ROM 10.4 inch with Wi-Fi+4G Tablet (Gold)</div>"
6,6,"₹9,999","<div class=""_4rR01T"">realme Pad Mini 3 GB RAM 32 GB ROM 8.7 inch with Wi-Fi Only Tablet (Grey)</div>"
7,7,"₹19,999","<div class=""_4rR01T"">realme Pad X 4 GB RAM 64 GB ROM 11 inch with Wi-Fi Only Tablet (Glacier Blue)</div>"
8,8,"₹13,999","<div class=""_4rR01T"">realme Pad 3 GB RAM 32 GB ROM 10.4 inch with Wi-Fi Only Tablet (Grey)</div>"
9,9,"₹19,999","<div class=""_4rR01T"">realme Pad X 4 GB RAM 64 GB ROM 11 inch with Wi-Fi Only Tablet (Glowing Grey)</div>"
10,10,"₹12,999","<div class=""_4rR01T"">realme Pad Mini 4 GB RAM 64 GB ROM 8.7 inch with Wi-Fi Only Tablet (Grey)</div>"
11,11,"₹14,999","<div class=""_4rR01T"">realme Pad Mini 4 GB RAM 64 GB ROM 8.7 inch with Wi-Fi+4G Tablet (Grey)</div>"
12,12,"₹9,999","<div class=""_4rR01T"">realme Pad Mini 3 GB RAM 32 GB ROM 8.7 inch with Wi-Fi Only Tablet (Blue)</div>"
13,13,"₹27,999","<div class=""_4rR01T"">realme Pad X 6 GB RAM 128 GB ROM 11 inch with Wi-Fi+5G Tablet (Glowing Grey)</div>"
14,14,"₹11,999","<div class=""_4rR01T"">realme Pad Mini 3 GB RAM 32 GB ROM 8.7 inch with Wi-Fi+4G Tablet (Grey)</div>"
15,15,"₹11,999","<div class=""_4rR01T"">realme Pad Mini 3 GB RAM 32 GB ROM 8.7 inch with Wi-Fi+4G Tablet (Blue)</div>"
16,16,"₹13,999","<div class=""_4rR01T"">realme Pad 3 GB RAM 32 GB ROM 10.4 inch with Wi-Fi Only Tablet (Gold)</div>"
17,17,"₹25,999","<div class=""_4rR01T"">realme Pad X 4 GB RAM 64 GB ROM 11 inch with Wi-Fi+5G Tablet (Glacier Blue)</div>"
18,18,"₹25,999","<div class=""_4rR01T"">realme Pad X 4 GB RAM 64 GB ROM 11 inch with Wi-Fi+5G Tablet (Glowing Grey)</div>"
19,19,"₹12,999","<div class=""_4rR01T"">realme Pad Mini 4 GB RAM 64 GB ROM 8.7 inch with Wi-Fi Only Tablet (Blue)</div>"
